tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
59,Ust_59.jpg,Alt_59.jpg,ok,ok,67.5,205/55 R16,5.06,91H,1.12,Continental,12.96,PremiumContact 6,6.22,Yaz,3.36,5025,1.65,55R16 | 032PFY | S2W2R3B | 51PS1 | 1POLYESTER | 615KG,,0.0,Tüpsüz,2.25
60,Ust_60.jpg,Alt_60.jpg,ok,ok,59.4,185/65 R14,1.18,,0.0,Lassa,7.06,Multiways 2,3.38,4 Mevsim,7.16,0826,0.98,S2W2R3B | MLTW2 | WAYS2 | 4SEASON | 65R14 | S2W2R38,Turkey,3.11,Tüpsüz,4.32
61,Ust_61.jpg,Alt_61.jpg,ok,ok,60.6,185/65 R14,2.29,,0.0,Lassa,9.49,Multiways 2,7.85,4 Mevsim,11.51,1323,1.86,1POLYESTER | S2W2R3B | 4SEASON | 65R14 | MLTW2 | 65R14A,Turkey,1.2,Tüpsüz,2.27
62,Ust_62.jpg,Alt_62.jpg,ok,ok,50.2,205/55 R16,4.25,H,2.07,Continental,9.5,EcoContact 6,2.95,Yaz,2.52,0126,1.81,032PFY | S2W2R3B | 55R16 | 1POLYESTER | 615KG | 13561B,Czech,1.21,Tüpsüz,1.21
63,Ust_63.jpg,Alt_63.jpg,ok,ok,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
64,Ust_64.jpg,Alt_64.jpg,ok,ok,66.9,175/65 R14,5.32,86T,1.1,Waterfall,7.39,Quattro,5.48,4 Mevsim,5.08,,0.0,65R14 | S2WR2 | MI | 48EX | 2NW2 | QUATTR,,0.0,Tüpsüz,4.29
65,Ust_65.jpg,Alt_65.jpg,okunamadi,ok,13.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
66,Ust_66.jpg,Alt_66.jpg,okunamadi,ok,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
67,Ust_67.jpg,Alt_67.jpg,ok,ok,40.8,185/65 R14,3.17,86H,2.89,Kumho,2.55,Solus TA21,0.82,4 Mevsim,1.19,,0.0,1Y09LY | A8J | 1Y0 | 9LYA | 1Y09LYA8J | 9LYA8J,Korea,1.09,,0.0
68,Ust_68.jpg,Alt_68.jpg,ok,ok,49.6,195/50 R15,2.3,,0.0,General Tire,7.25,Altimax Winter 3,1.42,4 Mevsim,2.1,,0.0,50R15 | 9LYA8J | 1Y0 | SAFET | RADIA | USTA21,Turkiye,1.23,Tüpsüz,1.23
69,Ust_69.jpg,Alt_69.jpg,ok,ok,45.1,195/50 R15,2.22,Y,0.78,,0.0,,0.0,4 Mevsim,2.12,,0.0,50R15 | 1Y0 | 1Y09LYA8J,,0.0,Tüpsüz,2.3
70,Ust_70.jpg,Alt_70.jpg,ok,ok,35.3,,0.0,,0.0,,0.0,,0.0,4 Mevsim,3.28,,0.0,9LYA8J | 1Y0 | STA21 | USTA21 | S2W2R3B | N02435,,0.0,Tüpsüz,2.31
71,Ust_71.jpg,Alt_71.jpg,ok,ok,36.5,,0.0,,0.0,,0.0,,0.0,4 Mevsim,2.27,,0.0,9LYA8J | 1Y0 | SAFETY | UISTA21 | S2W2R3B | H0435,,0.0,Tüpsüz,1.23
72,Ust_72.jpg,Alt_72.jpg,ok,ok,60.7,185/65 R14,3.26,86H,2.97,Kumho,7.86,Solus TA21,1.48,4 Mevsim,1.05,,0.0,9LYA8J | S2W2R3B | 65R14 | 530KG | 350KPA | 51PSI,,0.0,Tüpsüz,1.05
73,Ust_73.jpg,Alt_73.jpg,ok,ok,77.6,205/55 R16,2.14,91H,1.11,Bridgestone,6.39,Blizzak LM005,1.7,4 Mevsim,2.19,,0.0,55R16 | BLK61Z | S2W2R3B | 8KX569 | 0278KX569,Turkey,1.14,Tüpsüz,4.23
74,Ust_74.jpg,Alt_74.jpg,ok,ok,78.6,175/65 R14,5.01,86T,1.99,Maxxis,3.63,Quattro,0.81,4 Mevsim,4.04,0526,2.62,65R14 | IG | S2WR2 | 48EX | 2NW2 | 0526,,0.0,Tüpsüz,4.17
75,Ust_75.jpg,Alt_75.jpg,ok,ok,76.9,205/55 R16,4.41,91H,3.05,General Tire,11.49,Altimax Winter 3,2.69,4 Mevsim,3.32,,0.0,55R16 | S2W2R3B | BLK61Z | 8KX569 | 1POLYESTER | KX569,,0.0,Tüpsüz,4.37
