tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
61,Ust_61.jpg,Alt_61.jpg,ok,ok,16.7,185/65 R14,4.12,H,0.96,Lassa,6.78,Multiways 2,9.42,4 Mevsim,13.25,0826,2.83,65R14 | MLTW2 | 1POLYESTER | 4SEASON | MULTIWAYS2 | 2STEEL,Turkey,2.6,Tüpsüz,3.14
62,Ust_62.jpg,Alt_62.jpg,ok,ok,17.8,205/55 R16,2.94,H,0.7,Continental,11.37,PremiumContact 6,4.73,Yaz,2.54,0126,2.56,032PFY | 55R16H | 615KG | 1POLYESTER | 2STEEL | 1POLYAMIDE,Czech,1.05,Tüpsüz,2.4
63,Ust_63.jpg,Alt_63.jpg,ok,ok,47.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
64,Ust_64.jpg,Alt_64.jpg,ok,ok,15.7,175/65 R14,3.12,86T,0.96,Waterfall,4.69,Quattro,2.72,4 Mevsim,3.22,,0.0,65R14 | 65R1486T | 1NYLON | 1168IBS | SS373901 | 8317D,Turkiye,1.95,Tüpsüz,4.52
65,Ust_65.jpg,Alt_65.jpg,okunamadi,ok,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
66,Ust_66.jpg,Alt_66.jpg,okunamadi,ok,6.6,,0.0,,0.0,Petlas,0.3,Snowmaster W651,0.91,Kış,0.31,,0.0,,,0.0,,0.0
67,Ust_67.jpg,Alt_67.jpg,ok,ok,11.3,185/65 R14,0.97,86H,0.89,Kumho,8.66,Solus TA21,0.78,4 Mevsim,1.02,1421,0.39,9LYA8J | 65R1486H | 9LYABJ | 1Y0 | DOT1Y0 | SOLLSTA21,,0.0,Tüpsüz,0.96
68,Ust_68.jpg,Alt_68.jpg,ok,ok,12.6,195/50 R15,2.67,R,0.59,Kumho,7.59,Solus TA21,2.58,4 Mevsim,2.51,2515,0.36,50R15 | 9LYA8J | 1Y0 | SAFETY | KUMHO | R1486H,Turkiye,2.02,Tüpsüz,2.91
69,Ust_69.jpg,Alt_69.jpg,ok,ok,12.4,195/50 R15,2.44,,0.0,Kumho,8.2,Solus TA21,2.12,4 Mevsim,1.43,,0.0,50R15 | 1YO | 65R1480 | DOT1YO | OLUSTA21 | 118565F,Turkiye,2.83,Tüpsüz,5.78
70,Ust_70.jpg,Alt_70.jpg,ok,ok,14.0,,0.0,,0.0,Kumho,4.65,Solus TA21,1.52,4 Mevsim,1.88,3724,0.47,9LYA8J | 1Y0 | 65R1486H | D0T1Y0 | SOLUSTA21 | LISTA21,,0.0,Tüpsüz,2.79
71,Ust_71.jpg,Alt_71.jpg,ok,ok,14.9,,0.0,,0.0,Kumho,5.34,Solus TA21,1.55,4 Mevsim,2.19,,0.0,9LYA8J | 1Y0 | SAF | KUMIHO | 5R1486H | SOLLSTA21,,0.0,Tüpsüz,2.49
72,Ust_72.jpg,Alt_72.jpg,ok,ok,43.3,,0.0,,0.0,Kumho,1.84,Solus TA21,1.63,,0.0,,0.0,9LYA8J | 51PSI | 350KPA | SAFET | SERIOU | 1168LBS,,0.0,Tüpsüz,1.51
73,Ust_73.jpg,Alt_73.jpg,ok,ok,18.6,205/55 R16,2.71,,0.0,Bridgestone,6.79,,0.0,4 Mevsim,2.51,2825,0.67,BLK61Z | 55R16 | 0278KX569 | PSI275 | BLK612 | 1356IB,,0.0,Tüpsüz,4.12
74,Ust_74.jpg,Alt_74.jpg,ok,ok,22.3,175/65 R14,2.81,86T,0.73,Waterfall,2.62,Quattro,4.78,4 Mevsim,1.65,0526,3.6,65R14 | QUATTR | 48EX | 2NW2 | 0526 | ASEASO,Turkiye,1.07,Tüpsüz,4.64
75,Ust_75.jpg,Alt_75.jpg,ok,ok,20.1,205/55 R16,4.33,91H,0.77,General Tire,8.88,Altimax Winter 3,4.14,4 Mevsim,3.3,,0.0,55R16 | BLK61Z | 2STEEL | 1POLYESTER | PSIL275 | AT350KPA,,0.0,Tüpsüz,4.34
76,Ust_76.jpg,Alt_76.jpg,ok,ok,37.5,,0.0,,0.0,Kumho,1.51,Green-Max,0.33,4 Mevsim,1.0,,0.0,1168LBS | 350KPA | 51PSI | 9LYA8J | 1Y09LY | A8J,Korea,0.71,Tüpsüz,1.72
77,Ust_77.jpg,Alt_77.jpg,ok,ok,8.9,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
78,Ust_78.jpg,Alt_78.jpg,ok,ok,13.1,205/55 R16,3.16,91V,1.6,Nexen,1.7,Winguard Sport 2,2.09,Yaz,0.6,0226,1.42,55R16 | 8KX082 | 20555R16 | S2W2R3B | TU3ELESS | AT350KPAC,,0.0,Tüpsüz,2.52
79,Ust_79.jpg,Alt_79.jpg,ok,ok,16.8,185/65 R14,2.84,86H,0.74,General Tire,6.36,Altimax One,0.79,,0.0,1026,4.42,6LL410 | LL243826 | 65R14 | O5H | 44PSI | RIM51,Serbia,1.91,Tüpsüz,4.75
80,Ust_80.jpg,Alt_80.jpg,ok,ok,14.1,315/35 ZR22,6.79,Y,1.15,Continental,11.9,SportContact 7,7.93,Yaz,4.52,0125,0.78,032YBU | 35ZR22 | 1POLYESTER | IC | 1CP032 | 1POLYAMIDE,,0.0,Tüpsüz,2.69
81,Ust_81.jpg,Alt_81.jpg,ok,ok,18.1,185/65 R14,2.78,86H,0.94,Crosswind,4.02,Comfort Peak,2.96,,0.0,1026,1.46,6LL410 | 65R14 | LL243826 | RIM51 | 1026 | RADIAL,Serbia,1.92,Tüpsüz,3.65
82,Ust_82.jpg,Alt_82.jpg,ok,ok,17.9,185/65 R14,1.62,86H,0.55,Crosswind,2.97,Comfort Peak,3.37,Yaz,0.39,1026,1.15,6LL410 | LL243826 | RADIAL | 26 | O5H | INSIDE,Serbia,2.79,Tüpsüz,2.79
83,Ust_83.jpg,Alt_83.jpg,ok,ok,16.6,175/65 R14,3.6,86T,1.61,General Tire,5.31,Quattro,0.63,4 Mevsim,3.25,0526,1.27,65R14 | 48EX | TO | QUATTR | DOT48EX | 2NW20526,Turkiye,1.88,Tüpsüz,4.66
84,Ust_84.jpg,Alt_84.jpg,ok,ok,17.0,185/65 R14,1.62,86H,1.5,General Tire,4.38,Altimax One,1.57,,0.0,1026,1.67,LL243826 | 6LL410 | RADIAL | LL2438 | 65R14 | 05H,Serbia,2.78,Tüpsüz,6.49
85,Ust_85.jpg,Alt_85.jpg,ok,ok,15.5,185/65 R14,0.47,86H,0.45,General Tire,4.36,Comfort-Life 2,1.01,Yaz,0.81,1026,5.92,6LL410 | LL243826 | RIM51 | 05H | OSH | 65R14,Serbia,3.75,Tüpsüz,5.03
86,Ust_86.jpg,Alt_86.jpg,ok,ok,14.0,185/65 R14,3.25,86H,2.99,Semperit,2.76,Comfort-Life 2,8.2,,0.0,1026,1.71,LL243826 | 6LL410 | RADIAL | LL2438 | 65R14 | TUBELE,Serbia,1.92,Tüpsüz,6.0
87,Ust_87.jpg,Alt_87.jpg,ok,ok,13.3,185/65 R14,1.07,,0.0,,0.0,,0.0,,0.0,1026,0.9,LL243826 | 2STEEL | S2W2R3 | OUTSID | 65R14 | RIM51,Serbia,1.03,Tüpsüz,3.71
88,Ust_88.jpg,Alt_88.jpg,ok,ok,14.4,185/65 R14,5.43,86H,3.71,Crosswind,3.04,Comfort Peak,5.51,,0.0,1026,2.55,65R14 | RADIAL | 26 | 1026 | 6LL410 | RIM51,Serbia,1.91,Tüpsüz,4.69
89,Ust_89.jpg,Alt_89.jpg,okunamadi,ok,9.0,195/50 R15,3.41,82V,3.13,General Tire,1.52,Altimax Winter 3,0.79,Yaz,0.91,1926,1.27,50R15 | 285 | 249 | LOAD475KG | 1047LBS | TREADW,Turkiye,1.88,Tüpsüz,2.87
